Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Cal Raleigh","SEA",49,25,91.26800018310547,105.8,109.7,26.28,2,0.08,10,0.4,0.170731707,0.16275609734116075,0.341463414,0.29621951277197406,0.2817276545933315,0.2690246141686731,"Cal Raleigh",21534,663728
"Pavin Smith","ARI",28,21,85.2000013078962,105.7,107.4,15.238095238095237,0,0,7,0.33333333,0.12,0.21668000087141992,0.16,0.28535999953746793,0.18357972587857926,0.26772764325141907,"Pavin Smith",19892,656976
"Nico Hoerner","CHC",55,45,84.78222198486328,99.1,102.3,21.755555555555556,0,0,11,0.24444444,0.28,0.23894000001251697,0.4,0.305119998306036,0.31846371022137726,0.26744851144877346,"Nico Hoerner",21479,663538
"Jake Cronenworth","SDP",28,18,87.97058958165786,100.1,100.7,9.176470588235293,2,0.11111111,5,0.27777778,0.307692307,0.23465384886814997,0.423076923,0.3472307722728986,0.3324506812625461,0.26631325759269575,"Jake Cronenworth",18036,630105
"Christian Moore","LAA",9,5,95.10000610351562,107.3,107.3,5.8,1,0.2,2,0.4,0.25,0.2046249955892563,0.25,0.28687500953674316,0.27564209037356907,0.26593978537453544,"Christian Moore",34979,695681
"Evan Carter","TEX",19,12,84.16363872181286,104,104.4,-0.5454545454545454,1,0.08333333,3,0.25,0.3125,0.1721249963156879,0.5,0.32424999214708805,0.39082185096210903,0.26559732626709676,"Evan Carter",27790,694497
"Cam Cauley","TEX",16,12,82.49166615804036,95,101.7,8.333333333333334,0,0,2,0.16666667,0.142857142,0.20121428689786366,0.285714285,0.2660714238882065,0.2426718845963478,0.26524475309997797,"Cam Cauley",29710,695508
"Alex Call","LAD",15,10,86.44000015258788,94,99.7,21.6,1,0.1,1,0.1,0.272727272,0.14081818204034457,0.545454545,0.25645455006848683,0.3948265473047892,0.265024937937657,"Alex Call",19296,669743
"Gabriel Rincones Jr.","PHI",36,24,94.82499980926514,108,111.1,18.625,2,0.08333333,12,0.5,0.303030303,0.2122727305148587,0.454545454,0.35396969544165063,0.338785856962204,0.26458099691404235,"Gabriel Rincones Jr.",31958,687282
"Christian Walker","HOU",51,33,86.1848486698035,104.1,107.9,17.151515151515152,3,0.09090909,9,0.27272727,0.255319148,0.20470212685300948,0.44680851,0.3188936152356736,0.33194078534257176,0.26115035148812277,"Christian Walker",13419,572233
"Colt Emerson","SEA",44,22,87.4000000726609,104,104.3,13.380952380952381,2,0.09090909,6,0.27272727,0.2,0.18955000191926957,0.275,0.3190249986946583,0.25170347636396234,0.26113254576921463,"Colt Emerson",33575,806068
"Jake Mangum","PIT",54,37,85.46666590372722,101.7,104.1,0.2777777777777778,1,0.02702703,10,0.27027027,0.306122448,0.21038775723807665,0.346938775,0.28269387340667296,0.3269964743543554,0.2610363353181768,"Jake Mangum",26202,663968
"Liam Hicks","MIA",31,28,83.38571602957589,100.9,106.5,8.428571428571429,0,0,5,0.17857143,0.392857142,0.2521428550992693,0.392857142,0.28900000027247835,0.36115166064231624,0.2602876155607162,"Liam Hicks",29844,689414
"Jose Altuve","HOU",54,39,85.7999999217498,99.8,103.7,9.128205128205128,0,0,10,0.25641026,0.229166666,0.20333333344509205,0.375,0.27047916408628225,0.3071784951068737,0.25973607337585203,"Jose Altuve",5417,514888
"Vaughn Grissom","LAA",22,15,83.87333272298177,99.4,102.9,11.133333333333333,0,0,2,0.13333333,0.238095238,0.23747619276955015,0.238095238,0.30961904355457853,0.23420703411102295,0.25720263746651734,"Vaughn Grissom",26031,687093
"Alejandro Kirk","TOR",36,29,84.08965538287985,102.3,105.1,5.344827586206897,1,0.03448276,9,0.31034483,0.151515151,0.19845454620592523,0.242424242,0.31124242508050165,0.21398839354515076,0.25701038704978096,"Alejandro Kirk",22581,672386
"Jazz Chisholm Jr.","NYY",38,21,96.54500122070313,104.8,112.4,21.1,2,0.0952381,11,0.52380952,0.2,0.18499999589153698,0.314285714,0.32554286122322085,0.25932731440192774,0.2568256380526643,"Jazz Chisholm Jr.",20454,665862
"Seiya Suzuki","CHC",57,35,88.53142918178014,101.3,106.5,19.82857142857143,3,0.08571429,14,0.4,0.24,0.18491836764602637,0.46,0.32030612258810776,0.32245499627632007,0.2566658915186833,"Seiya Suzuki",30116,673548
"Ildemaro Vargas","ARI",26,22,87.6999998546782,101.1,109.4,9.857142857142858,0,0,9,0.40909091,0.208333333,0.23600000018874803,0.291666666,0.26624999940395355,0.2535189711130582,0.2566506123313537,"Ildemaro Vargas",13324,545121
"Ben Rice","NYY",53,35,91.08857138497488,102.8,106.2,8.285714285714286,4,0.11428571,14,0.4,0.145833333,0.18041666558322808,0.333333333,0.3353958330117166,0.24074696921385252,0.25657053327617735,"Ben Rice",29576,700250
"Caleb Durbin","BOS",47,35,81.58235325532802,104.8,107.4,10.382352941176471,1,0.02857143,8,0.22857143,0.238095238,0.18364285571234568,0.476190476,0.2938571416196369,0.34529955336388124,0.2561976586250549,"Caleb Durbin",29646,702332
"Ha-Seong Kim","ATL",13,7,87.34285627092633,99.5,99.5,35.285714285714285,1,0.14285714,2,0.28571429,0,0.14027272300286728,0,0.2739999998699535,0.10762997773977426,0.25607046026449937,"Ha-Seong Kim",27506,673490
"Lourdes Gurriel Jr.","ARI",43,34,87.4676466549144,103,106.1,21.58823529411765,1,0.02941176,11,0.32352941,0.25,0.21547499746084214,0.425,0.3037749953567982,0.31781477567761446,0.25602813654167705,"Lourdes Gurriel Jr.",19238,666971
"Junior Perez","CHW",15,8,90.33750057220459,106.1,106.1,33.625,1,0.125,3,0.375,0.133333333,0.18086666588981945,0.333333333,0.4276000067591667,0.1955347776412964,0.25580000653862955,"Junior Perez",23989,678577
"Jose Siri","LAA",13,8,85.71249961853027,108,108,8.375,1,0.125,2,0.25,0.166666666,0.1394166722893715,0.416666666,0.38516665374239284,0.27943203999445987,0.2550352318928792,"Jose Siri",17452,642350
"Brett Sullivan","COL",15,13,91.54615196814903,99.2,103.7,20.692307692307693,0,0,8,0.61538462,0.285714285,0.22321428571428573,0.357142857,0.2938571402004787,0.30877563953399656,0.2547638614972432,"Brett Sullivan",18217,664954
"Ceddanne Rafaela","BOS",55,41,83.80975565096227,98.6,103.2,14.902439024390244,0,0,7,0.17073171,0.288461538,0.2402884613436002,0.384615384,0.2848846052701657,0.31398284001783894,0.25358861847357317,"Ceddanne Rafaela",24262,678882
"Austin Riley","ATL",49,28,86.85357012067523,104.3,112.2,14.321428571428571,4,0.14285714,8,0.28571429,0.139534883,0.15625581279299547,0.209302325,0.2937906976588893,0.21885234117507935,0.2535221230010597,"Austin Riley",18360,663586
"Nasim Nuñez","WSN",41,19,89.45882460650276,101.5,105.4,2.9411764705882355,1,0.05263158,6,0.31578947,0.257142857,0.16337143353053502,0.342857142,0.2401428588799068,0.3259691377965415,0.2517011725321049,"Nasim Nunez",25979,683083
"Tyler Callihan","PIT",27,12,86.34545482288708,101.9,107,12.363636363636363,1,0.08333333,5,0.41666667,0.208333333,0.19012499817957482,0.416666666,0.32533333729952574,0.28542088137732613,0.25088577938300594,"Tyler Callihan",27497,682997
"Pedro Pagés","STL",16,11,87.25000076293945,105.7,106.1,10.9,0,0,5,0.45454545,0.2,0.2335714272090367,0.2,0.26599999730076107,0.21071067452430725,0.25043052931626636,"Pedro Pages",25782,686780
"Salvador Perez","KCR",40,28,90.50357164655414,102.8,105.7,10.357142857142858,3,0.10714286,13,0.46428571,0.23076923,0.21053846352375472,0.41025641,0.3468717865836926,0.284406341612339,0.2499573551118374,"Salvador Perez",7304,521692
"Colby Thomas","ATH",23,19,89.16315701133327,104.9,107.8,24.68421052631579,2,0.10526316,7,0.36842105,0.260869565,0.19452174105074094,0.565217391,0.39769564034498256,0.3485608308211617,0.249608694292281,"Colby Thomas",31855,687515
"Brayan Rocchio","CLE",46,34,84.4823527616613,98.4,103.2,17.705882352941178,0,0,10,0.29411765,0.279069767,0.22339534820165746,0.372093023,0.277999997658785,0.31103038787841797,0.2485516072129426,"Brayan Rocchio",23690,677587
"Taylor Ward","BAL",49,34,87.25625085830688,102.3,106.7,14.78125,3,0.08823529,11,0.32352941,0.222222222,0.20802325564761495,0.266666666,0.30997674583002577,0.23967444896697998,0.24851859503603996,"Taylor Ward",17548,621493
"Nick Fortes","TBR",22,19,86.14444351196289,102.8,104.3,9.88888888888889,1,0.05263158,5,0.26315789,0.333333333,0.19014285369554446,0.523809523,0.3389523821173325,0.38572973825714807,0.24814972457137296,"Nick Fortes",21538,663743
"Matt McLain","CIN",21,12,90.33000106811524,99,104.1,20.8,0,0,4,0.33333333,0.055555555,0.19282352858606508,0.055555555,0.2539411713095272,0.114489084482193,0.24762715007129468,"Matt McLain",29695,680574
"Nathaniel Lowe","CIN",23,10,87.88999786376954,106.1,112.6,21.1,0,0,3,0.3,0.19047619,0.21171428759892783,0.285714285,0.25509523493903025,0.24786527260490085,0.2469528732092484,"Nathaniel Lowe",19566,663993
"Alika Williams","ATH",33,20,82.25,103.8,104.8,20.05,0,0,7,0.35,0.28125,0.23725000116974115,0.4375,0.29884374886751175,0.321397091403152,0.24683206099452396,"Alika Williams",27604,675961
"Carlos Narváez","BOS",24,14,94.1999998826247,104.8,110.1,20.307692307692307,2,0.14285714,5,0.35714286,0.142857142,0.16195237991355715,0.19047619,0.3427619054203942,0.16399341821670532,0.24675191744514133,"Carlos Narvaez",19722,665966
"Kyle Higashioka","TEX",24,16,88.29333190917968,104,105.3,24.6,0,0,7,0.4375,0.15,0.147749999538064,0.15,0.2145000039599836,0.22792313992977142,0.24624300189316273,"Kyle Higashioka",5517,543309
"Tommy Troy","ARI",40,26,84.33076858520508,100.1,103.7,4.6923076923076925,1,0.03846154,9,0.34615385,0.184210526,0.20618421133411557,0.210526315,0.3127631554870229,0.20007513463497162,0.24617289938032627,"Tommy Troy",33279,694371
"Blake Dunn","CIN",11,7,92.96666971842448,105.7,105.7,12.666666666666666,0,0,2,0.28571429,0.3,0.26533332135942245,0.4,0.2975555592113071,0.276495250788602,0.24529999494552612,"Blake Dunn",29487,694362
"Spencer Jones","NYY",18,10,86.93000106811523,97.3,103,17.1,0,0,3,0.3,0.277777777,0.2597777711020576,0.388888888,0.30077778009904754,0.2884613076845805,0.2446111035015848,"Spencer Jones",31532,682987
"Victor Mesa Jr.","TBR",35,22,91.17000007629395,107.2,109.1,26.4,1,0.04545455,8,0.36363636,0.166666666,0.18673333326975505,0.3,0.2538333340237538,0.2506528241293771,0.24410948622971773,"Victor Mesa Jr.",25999,683748
"Jared Young","NYM",41,27,87.9259262084961,103.9,105.7,20.814814814814813,2,0.07407407,11,0.40740741,0.189189189,0.1574864837441694,0.351351351,0.2958648658256877,0.2779953828672083,0.2439391215377283,"Jared Young",20404,676724
"Anthony Volpe","NYY",38,25,89.79166571299235,101.9,106.5,11.166666666666666,1,0.04,5,0.2,0.171428571,0.2071142875556169,0.2,0.2601142821401092,0.2055791647810685,0.24300984097154518,"Anthony Volpe",27647,683011
"Iván Herrera","STL",49,31,86.57333297729492,105.4,111.5,17.4,0,0,10,0.32258065,0.162790697,0.18121428631379136,0.186046511,0.22561904489772305,0.22232250656400407,0.24296366733809313,"Ivan Herrera",20599,671056
"Jung Hoo Lee","SFG",50,44,83.74185979089071,99.9,102.9,6.511627906976744,1,0.02272727,8,0.18181818,0.25,0.22081250014404455,0.395833333,0.2939791642129421,0.29359702587127684,0.24217831671237947,"Jung Hoo Lee",33824,808982
"Jorge Mateo","ATL",19,10,90.73333231608073,100.7,102.3,18.333333333333332,1,0.1,5,0.5,0.117647058,0.15582352832836263,0.117647058,0.2811764658373945,0.16738808782477127,0.24083768850878665,"Jorge Mateo",17273,622761
"Henry Davis","PIT",20,15,86.57857077462333,101.4,102,19.071428571428573,1,0.06666667,7,0.46666667,0.315789473,0.18526315689086914,0.684210526,0.31652632041981343,0.43582469820976255,0.24057290330529213,"Henry Davis",29617,680779
"Leody Taveras","BAL",34,19,84.97058733771829,104.9,107.5,18.058823529411764,1,0.05263158,4,0.21052632,0.103448275,0.12203703434379012,0.206896551,0.24359258643730922,0.21534082118202658,0.23969656543340534,"Leody Taveras",18900,665750
"Nolan Arenado","ARI",43,31,84.09677345521989,103.9,105,12.741935483870968,3,0.09677419,11,0.35483871,0.243902439,0.19451219352280222,0.487804878,0.3111951205788589,0.3276156325672948,0.2396259519249894,"Nolan Arenado",9777,571448
"Dylan Beavers","BAL",16,9,85.7125015258789,107.2,107.2,34.75,1,0.11111111,2,0.22222222,0.071428571,0.1411538479419855,0.142857142,0.2547692335568942,0.16621584445238113,0.23886106808980306,"Dylan Beavers",31695,687637
"Freddy Fermin","SDP",20,14,84.31538449800931,100.4,101.4,19.23076923076923,0,0,3,0.21428571,0.1875,0.1473124991171062,0.3125,0.2013749988982454,0.2899949550628662,0.23786178564554766,"Freddy Fermin",21840,666023
"Pedro Ramírez","CHC",21,15,88.46428625924247,102.3,105.9,17.071428571428573,0,0,6,0.4,0.210526315,0.2450526366500478,0.368421052,0.31863158764807803,0.23172081112861634,0.2366499975323677,"Pedro Ramirez",29218,699393
"Nathan Church","STL",40,31,85.98064619495022,103.1,106.5,21.451612903225808,2,0.06451613,12,0.38709677,0.184210526,0.19300000348410226,0.421052631,0.3286315749589305,0.27722116708755495,0.23398610873100084,"Nathan Church",31357,701675
"Eli White","ATL",16,10,84.07777743869357,100.2,100.2,17,0,0,2,0.2,0.266666666,0.2095714243394988,0.533333333,0.24692856892943382,0.36146701872348785,0.23349720140298208,"Eli White",19346,642201
