Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Willi Castro","- - -",363,1260,1421,308,207,61,8,32,189,133,118,1,354,36,5,2,23,30,17,0.244444444,"Willi Castro",17338,650489
"Eric Wagaman","- - -",179,585,630,143,94,33,3,13,65,67,38,0,127,2,5,0,13,4,1,0.244444444,"Eric Wagaman",23395,676572
"José Fermín","STL",138,299,335,73,52,15,1,5,30,33,30,0,47,2,1,2,10,7,3,0.244147157,"Jose Fermin",21746,665877
"Jordan Walker","STL",258,897,984,219,141,43,2,33,119,137,73,2,277,8,6,0,21,24,8,0.244147157,"Jordan Walker",27475,691023
"Cooper Pratt","MIL",27,82,97,20,16,3,1,0,11,7,12,0,17,1,2,0,4,6,2,0.243902439,"Cooper Pratt",33530,806198
"Salvador Perez","KCR",405,1546,1680,377,231,77,0,69,145,243,87,16,333,31,12,0,43,0,0,0.243855109,"Salvador Perez",7304,521692
"Jazz Chisholm Jr.","- - -",371,1354,1523,330,205,49,7,69,198,191,148,7,410,11,9,1,13,97,23,0.243722304,"Jazz Chisholm Jr.",20454,665862
"Curtis Mead","- - -",211,632,705,154,102,29,2,21,83,74,56,0,151,14,2,0,17,13,3,0.243670886,"Curtis Mead",23986,678554
"Jake Meyers","HOU",304,940,1042,229,164,41,5,19,118,96,76,0,214,14,7,5,29,28,10,0.243617021,"Jake Meyers",20308,676694
"Nasim Nuñez","WSN",182,419,488,102,87,7,3,5,69,42,54,0,108,1,2,12,6,54,7,0.243436754,"Nasim Nunez",25979,683083
"Brenton Doyle","COL",330,1155,1263,281,185,51,6,39,160,133,87,1,331,3,12,6,27,57,9,0.243290043,"Brenton Doyle",25479,686668
"Armando Alvarez","OAK",16,37,39,9,8,1,0,0,7,2,2,0,8,0,0,0,1,1,0,0.243243243,"Armando Alvarez",19292,669137
"Drew Cavanaugh","SFG",15,37,45,9,9,0,0,0,2,2,7,0,12,0,0,1,0,0,0,0.243243243,"Drew Cavanaugh",33380,701852
"Jake Burger","- - -",335,1243,1341,302,187,52,2,61,152,188,72,2,344,17,9,0,19,4,2,0.242960579,"Jake Burger",22275,669394
"Jasson Domínguez","NYY",180,581,648,141,95,28,1,17,80,62,58,1,166,4,4,0,6,34,5,0.242685025,"Jasson Dominguez",28080,691176
